iter	Passed	Remaining
0	213	106376
1	266	66341
2	321	53185
3	384	47729
4	456	45150
5	517	42602
6	587	41380
7	658	40475
8	721	39381
9	786	38540
10	849	37769
11	917	37311
12	979	36696
13	1043	36241
14	1105	35746
15	1176	35590
16	1237	35149
17	1300	34817
18	1360	34433
19	1434	34426
20	1504	34311
21	1569	34108
22	1634	33888
23	1700	33731
24	1768	33597
25	1833	33417
26	1894	33187
27	1973	33269
28	2058	33434
29	2140	33534
30	2252	34079
31	2353	34417
32	2497	35347
33	2593	35543
34	2682	35641
35	2768	35678
36	2862	35817
37	2958	35975
38	3050	36061
39	3144	36160
40	3231	36173
41	3309	36093
42	3407	36214
43	3505	36328
44	3591	36309
45	3669	36219
46	3740	36052
47	3820	35973
48	3914	36028
49	4083	36748
50	4181	36812
51	4284	36909
52	4372	36876
53	4464	36876
54	4538	36719
55	4605	36518
56	4680	36372
57	4752	36213
58	4824	36064
59	4917	36060
60	5011	36067
61	5072	35833
62	5130	35586
63	5180	35291
64	5236	35044
65	5286	34765
66	5344	34538
67	5397	34291
68	5470	34172
69	5531	33979
70	5599	33832
71	5663	33663
72	5724	33487
73	5785	33307
74	5852	33161
75	5913	32990
76	5972	32811
77	6028	32613
78	6082	32414
79	6138	32228
80	6191	32026
81	6247	31848
82	6295	31629
83	6349	31446
84	6403	31264
85	6471	31152
86	6515	30929
87	6566	30745
88	6611	30533
89	6653	30311
90	6695	30094
91	6738	29884
92	6780	29673
93	6820	29456
94	6868	29279
95	6911	29087
96	6952	28884
97	6999	28711
98	7042	28525
99	7081	28324
100	7132	28177
101	7173	27991
102	7216	27813
103	7258	27637
104	7306	27484
105	7348	27315
106	7395	27163
107	7459	27074
