Id,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,Probability,Predicted_class,Risk
1,0.88551908,43,0,0.177512717,5700.0,4,0,0,0,0.0,0.0477022414510394,0,low
2,0.463295269,57,0,0.527236928,9141.0,15,0,4,0,2.0,0.0358566826313213,0,low
3,0.043275036,59,0,0.687647522,5083.0,12,0,1,0,2.0,0.0208907754057219,0,low
4,0.280308229,38,1,0.925960637,3200.0,7,0,2,0,0.0,0.0833475958185385,0,low
5,0.9999999,27,0,0.019917227,3865.0,4,0,0,0,1.0,0.14408659974012,1,medium
6,0.509791452,63,0,0.342429365,4140.0,4,0,0,0,1.0,0.033281828816372,0,low
7,0.587778161,50,0,1048.0,0.0,5,0,0,0,3.0,0.0441545368294577,0,low
8,0.046148938,79,1,0.3691702,3301.0,8,0,1,0,1.0,0.0466003573557224,0,low
9,0.013527027,68,0,2024.0,,4,0,1,0,0.0,0.0028456018065178,0,low
10,0.9999999,23,98,0.0,0.0,0,98,0,98,0.0,0.3870932980108535,1,medium
11,0.0284849,37,0,0.319686529,7400.0,8,0,1,0,1.0,0.0088266232745313,0,low
12,0.085076597,52,0,0.903552105,4250.0,6,0,2,0,0.0,0.0299447174687876,0,low
13,0.010596142,68,0,0.007782101,3854.0,16,0,0,0,0.0,0.0071311108677705,0,low
14,0.380678869,30,0,0.37744902,2500.0,12,0,0,0,1.0,0.0618417001762486,0,low
15,0.556893515,56,0,0.697347208,6822.0,14,0,1,0,1.0,0.0416816511470947,0,low
16,0.079055723,28,0,0.105831231,7133.0,8,0,0,0,0.0,0.015351548873189,0,low
17,0.543013445,72,0,0.461786138,5900.0,10,0,2,0,1.0,0.0419136058114212,0,low
18,0.11234564,37,0,0.144326363,2916.0,7,0,0,0,0.0,0.0144982410973898,0,low
19,0.648285056,29,0,0.174850033,4500.0,4,0,0,1,1.0,0.2101799554234255,1,medium
20,0.686406344,43,0,487.0,,10,0,0,0,1.0,0.0964088426176546,0,low
21,0.085909749,48,0,0.19615602,8844.0,8,0,1,0,1.0,0.0086806825434944,0,low
